instance,vehicles,total_distance,objective_cost,capacity,horizon,feasible
C101,10,829.0,829.0,200,1236,True
C102,10,829.0,829.0,200,1236,True
C103,10,828.0,828.0,200,1236,True
C104,10,842.0,842.0,200,1236,True
C105,10,829.0,829.0,200,1236,True
C106,10,829.0,829.0,200,1236,True
C107,10,829.0,829.0,200,1236,True
C108,10,829.0,829.0,200,1236,True
C109,10,829.0,829.0,200,1236,True
C201,10,973.0,973.0,200,3390,True
C202,10,955.0,955.0,200,3390,True
C203,10,953.0,953.0,200,3390,True
C204,10,939.0,939.0,200,3390,True
C205,10,957.0,957.0,200,3390,True
C206,10,961.0,961.0,200,3390,True
C207,10,949.0,949.0,200,3390,True
C208,10,942.0,942.0,200,3390,True
R103,15,1208.0,1208.0,200,230,True
R104,11,988.0,988.0,200,230,True
R106,13,1243.0,1243.0,200,230,True
R107,11,1072.0,1072.0,200,230,True
R108,10,973.0,973.0,200,230,True
R109,13,1165.0,1165.0,200,230,True
R110,12,1120.0,1120.0,200,230,True
R111,12,1091.0,1091.0,200,230,True
R112,11,989.0,989.0,200,230,True
R201,9,1161.0,1161.0,200,1000,True
R202,8,1053.0,1053.0,200,1000,True
R203,9,935.0,935.0,200,1000,True
R204,8,855.0,855.0,200,1000,True
R205,8,1011.0,1011.0,200,1000,True
R206,8,961.0,961.0,200,1000,True
R207,8,904.0,904.0,200,1000,True
R208,8,845.0,845.0,200,1000,True
R209,8,966.0,966.0,200,1000,True
R210,8,959.0,959.0,200,1000,True
R211,8,853.0,853.0,200,1000,True
RC103,13,1340.0,1340.0,200,240,True
RC104,11,1205.0,1205.0,200,240,True
RC106,14,1399.0,1399.0,200,240,True
RC107,12,1225.0,1225.0,200,240,True
RC108,11,1139.0,1139.0,200,240,True
RC201,9,1348.0,1348.0,200,960,True
RC202,10,1196.0,1196.0,200,960,True
RC203,10,1093.0,1093.0,200,960,True
RC204,9,1042.0,1042.0,200,960,True
RC205,10,1240.0,1240.0,200,960,True
RC206,9,1174.0,1174.0,200,960,True
RC207,9,1212.0,1212.0,200,960,True
RC208,9,1047.0,1047.0,200,960,True
