instance,champ_p50,best_base,base_p50,delta_p50
C101,24.0,Gamma1,24.0,0.0
C102,38.0,Gamma1,38.0,0.0
C103,53.0,Gamma1,53.0,0.0
C104,74.74747474747475,Gamma1,74.74747474747475,0.0
C105,21.0,SAA16-b0p3,21.0,0.0
C106,23.0,SAA16-b0p3,23.0,0.0
C107,23.0,SAA16-b0p3,23.0,0.0
C108,26.0,SAA16-b0p3,26.0,0.0
C109,38.0,Q120,38.0,0.0
C201,29.0,SAA16-b0p3,29.0,0.0
C202,59.0,SAA16-b0p3,59.0,0.0
C203,73.0,SAA16-b0p3,73.0,0.0
C204,87.0,SAA16-b0p3,87.0,0.0
C205,33.0,SAA16-b0p3,33.0,0.0
C206,35.0,Gamma1,35.0,0.0
C207,47.0,SAA16-b0p3,47.0,0.0
C208,43.0,Gamma1,43.0,0.0
R101,31.0,SAA16-b0p3,31.0,0.0
R102,38.0,SAA16-b0p3,38.0,0.0
R103,36.0,SAA16-b0p3,36.0,0.0
R104,35.0,SAA16-b0p3,35.0,0.0
R105,27.0,SAA16-b0p3,27.0,0.0
R106,31.0,SAA16-b0p3,31.0,0.0
R107,45.0,Gamma1,45.0,0.0
R108,53.0,Gamma1,53.0,0.0
R109,33.0,Gamma1,33.0,0.0
R110,39.0,Gamma1,39.0,0.0
R111,47.0,Gamma1,47.0,0.0
R112,47.0,Gamma1,47.0,0.0
R201,28.0,Gamma1,28.0,0.0
R202,36.0,Gamma1,36.0,0.0
R203,55.0,Gamma1,55.0,0.0
R204,84.0,Gamma1,84.0,0.0
R205,31.0,SAA16-b0p3,31.0,0.0
R206,46.0,SAA16-b0p3,46.0,0.0
R207,68.0,Gamma1,68.0,0.0
R208,92.0,SAA16-b0p3,92.0,0.0
R209,51.0,Gamma1,51.0,0.0
R210,60.0,Gamma1,60.0,0.0
R211,75.0,SAA16-b0p3,75.0,0.0
RC101,27.0,SAA16-b0p3,27.0,0.0
RC102,35.0,SAA16-b0p3,35.0,0.0
RC103,49.0,Gamma1,49.0,0.0
RC104,56.0,Gamma1,56.0,0.0
RC104,50.0,Gamma1,56.0,-6.0
RC105,32.0,SAA16-b0p3,32.0,0.0
RC106,39.0,Gamma1,39.0,0.0
RC107,39.0,Gamma1,39.0,0.0
RC108,55.0,Q120,55.0,0.0
RC201,29.0,SAA16-b0p3,29.0,0.0
RC202,43.0,Gamma1,43.0,0.0
RC203,60.0,SAA16-b0p3,60.0,0.0
RC204,83.0,Gamma1,83.0,0.0
RC205,32.0,SAA16-b0p3,32.0,0.0
RC206,40.0,Gamma1,40.0,0.0
RC207,50.0,SAA16-b0p3,50.0,0.0
RC208,77.0,Gamma1,77.0,0.0
