family,method,mean_distance,mean_vehicles,mean_p50,mean_p95,n_instances
C,CHAMPION(SAA16-b0p3),945.5294117647059,10.0,100.0,100.0,17
C,DET,892.0,10.0,40.529411764705884,41.0,17
C,Q120,953.0,11.0,100.0,100.0,17
R,CHAMPION(Q120),1069.0,12.0,100.0,100.0,1
R,CHAMPION(SAA16-b0p3),1036.8181818181818,8.0,100.0,100.0,11
R,CHAMPION(SAA32-b0p5),1393.5,13.0,100.0,100.0,2
R,CHAMPION(SAA64-b0p7),1482.3333333333333,14.222222222222221,100.0,100.0,9
R,DET,1021.25,9.5,44.975,48.709999999999994,20
R,Q120,1069.0,12.0,100.0,100.0,23
RC,CHAMPION(Q120),1367.0,13.0,100.0,100.0,1
RC,CHAMPION(SAA16-b0p3),1273.625,9.0,100.0,100.0,8
RC,CHAMPION(SAA32-b0p5),1615.75,13.75,100.0,100.0,4
RC,CHAMPION(SAA64-b0p7),1708.6666666666667,14.333333333333334,100.0,100.0,3
RC,DET,1227.6923076923076,9.923076923076923,42.07692307692308,45.76923076923077,13
RC,Q120,1367.0,13.0,100.0,100.0,16
