instance,vehicles_base,dist_base,capacity,horizon,feasible_base,vehicles_ort,dist_ort,feasible_ort,family,delta_veh,delta_dist,pct_distance_change
C101,10,878.362,200,1236.0,True,10.0,829.0,True,C,0.0,-49.361999999999966,-5.619778633410823
C102,10,1014.542,200,1236.0,True,10.0,829.0,True,C,0.0,-185.54200000000003,-18.28825223598432
C103,11,1262.756,200,1236.0,True,10.0,868.0,True,C,-1.0,-394.7560000000001,-31.26146302215155
C104,10,1171.828,200,1236.0,True,10.0,925.0,True,C,0.0,-246.82799999999997,-21.063500786804887
C105,10,934.356,200,1236.0,True,10.0,829.0,True,C,0.0,-105.356,-11.275787815350892
C106,10,1032.703,200,1236.0,True,10.0,854.0,True,C,0.0,-178.70299999999997,-17.30439439025547
C107,10,934.356,200,1236.0,True,10.0,829.0,True,C,0.0,-105.356,-11.275787815350892
C108,11,1269.003,200,1236.0,True,10.0,829.0,True,C,-1.0,-440.00299999999993,-34.67312528023968
C109,10,1107.547,200,1236.0,True,10.0,829.0,True,C,0.0,-278.547,-25.14990334495963
C201,10,1210.044,200,3390.0,True,10.0,963.0,True,C,0.0,-247.0440000000001,-20.41611709987406
C202,10,1202.993,200,3390.0,True,10.0,999.0,True,C,0.0,-203.99299999999994,-16.957122776275504
C203,10,1347.518,200,3390.0,True,10.0,975.0,True,C,0.0,-372.51800000000003,-27.644751313155002
C204,10,1280.145,200,3390.0,True,10.0,952.0,True,C,0.0,-328.145,-25.63342433864914
C205,10,1327.728,200,3390.0,True,10.0,975.0,True,C,0.0,-352.72800000000007,-26.56628466071364
C206,10,1172.607,200,3390.0,True,10.0,947.0,True,C,0.0,-225.60699999999997,-19.23977939753046
C207,10,1281.909,200,3390.0,True,10.0,946.0,True,C,0.0,-335.9090000000001,-26.203810098844773
C208,10,1320.202,200,3390.0,True,10.0,951.0,True,C,0.0,-369.202,-27.96556890536448
R101,21,2127.091,200,230.0,True,,,,R,,,
R102,18,1794.68,200,230.0,True,,,,R,,,
R103,17,1825.544,200,230.0,True,14.0,1225.0,True,R,-3.0,-600.5440000000001,-32.89671462314795
R104,11,1257.463,200,230.0,True,10.0,1012.0,True,R,-1.0,-245.46299999999997,-19.520494837621463
R105,16,1779.216,200,230.0,True,,,,R,,,
R106,16,1796.607,200,230.0,True,13.0,1262.0,True,R,-3.0,-534.607,-29.75647985341257
R107,14,1598.799,200,230.0,True,11.0,1092.0,True,R,-3.0,-506.799,-31.698731360227267
R108,11,1253.493,200,230.0,True,10.0,974.0,True,R,-1.0,-279.49299999999994,-22.29713289184702
R109,14,1540.607,200,230.0,True,13.0,1241.0,True,R,-1.0,-299.60699999999997,-19.447334719367106
R110,15,1671.843,200,230.0,True,12.0,1137.0,True,R,-3.0,-534.8430000000001,-31.991221663756708
R111,14,1580.005,200,230.0,True,11.0,1101.0,True,R,-3.0,-479.0050000000001,-30.316676213049966
R112,12,1405.221,200,230.0,True,11.0,1001.0,True,R,-1.0,-404.221,-28.765653231769235
R201,9,1606.737,200,1000.0,True,8.0,1239.0,True,R,-1.0,-367.7370000000001,-22.887193112500682
R202,8,1588.118,200,1000.0,True,8.0,1105.0,True,R,0.0,-483.11799999999994,-30.420787372222968
R203,8,1452.873,200,1000.0,True,8.0,972.0,True,R,0.0,-480.87300000000005,-33.09807533074123
R204,8,1091.124,200,1000.0,True,8.0,872.0,True,R,0.0,-219.12400000000002,-20.0824104318116
R205,8,1426.214,200,1000.0,True,8.0,1057.0,True,R,0.0,-369.21399999999994,-25.887699882345846
R206,8,1494.905,200,1000.0,True,8.0,962.0,True,R,0.0,-532.905,-35.648084660898185
R207,8,1170.855,200,1000.0,True,8.0,929.0,True,R,0.0,-241.85500000000002,-20.656272552963433
R208,8,1221.111,200,1000.0,True,8.0,854.0,True,R,0.0,-367.1110000000001,-30.063687903884258
R209,8,1439.954,200,1000.0,True,8.0,964.0,True,R,0.0,-475.95399999999995,-33.05341698415366
R210,8,1216.901,200,1000.0,True,8.0,994.0,True,R,0.0,-222.90100000000007,-18.317102212916257
R211,8,1267.116,200,1000.0,True,8.0,877.0,True,R,0.0,-390.116,-30.78771004391074
RC101,18,2184.86,200,240.0,True,,,,RC,,,
RC102,16,2006.096,200,240.0,True,,,,RC,,,
RC103,14,1953.447,200,240.0,True,12.0,1341.0,True,RC,-2.0,-612.4469999999999,-31.352117564489845
RC104,13,1697.103,200,240.0,True,10.0,1243.0,True,RC,-3.0,-454.10300000000007,-26.757539171164037
RC105,17,2267.178,200,240.0,True,,,,RC,,,
RC106,15,1851.026,200,240.0,True,13.0,1400.0,True,RC,-2.0,-451.02600000000007,-24.366270381939533
RC107,14,1780.528,200,240.0,True,11.0,1254.0,True,RC,-3.0,-526.528,-29.571452962267372
RC108,14,1694.264,200,240.0,True,11.0,1170.0,True,RC,-3.0,-524.2639999999999,-30.9434657172672
RC201,9,1938.93,200,960.0,True,9.0,1473.0,True,RC,0.0,-465.93000000000006,-24.0302641147437
RC202,10,1707.81,200,960.0,True,9.0,1295.0,True,RC,-1.0,-412.80999999999995,-24.171892657848353
RC203,9,1489.26,200,960.0,True,9.0,1201.0,True,RC,0.0,-288.26,-19.35592173294119
RC204,9,1354.573,200,960.0,True,9.0,1060.0,True,RC,0.0,-294.5730000000001,-21.746557771341973
RC205,9,1661.873,200,960.0,True,9.0,1283.0,True,RC,0.0,-378.87300000000005,-22.797951468012297
RC206,9,1893.329,200,960.0,True,9.0,1240.0,True,RC,0.0,-653.329,-34.506892357324055
RC207,9,1527.216,200,960.0,True,9.0,1228.0,True,RC,0.0,-299.2159999999999,-19.592251521723185
RC208,9,1396.045,200,960.0,True,9.0,1071.0,True,RC,0.0,-325.0450000000001,-23.283275252588567
