instance,vehicles_DET,vehicles_Q120,vehicles_SAA32-b0p5,tota_DET,tota_Q120,tota_SAA32-b0p5,feasible_DET,feasible_Q120,feasible_SAA32-b0p5,family,pct_dist_vs_DET_Q120,pct_dist_vs_DET_SAA32-b0p5
C101,10.0,,10.0,829.0,,957.0,True,False,True,C,,15.440289505428227
C102,10.0,,10.0,829.0,,954.0,True,False,True,C,,15.078407720144753
C103,10.0,,10.0,868.0,,982.0,True,False,True,C,,13.133640552995391
C104,10.0,,10.0,859.0,,984.0,True,False,True,C,,14.551804423748544
C105,10.0,,10.0,829.0,,957.0,True,False,True,C,,15.440289505428227
C106,10.0,,10.0,829.0,,955.0,True,False,True,C,,15.19903498190591
C107,10.0,,10.0,829.0,,951.0,True,False,True,C,,14.716525934861279
C108,10.0,,10.0,829.0,,950.0,True,False,True,C,,14.595898673100121
C109,10.0,11.0,10.0,829.0,953.0,973.0,True,True,True,C,14.957780458383594,17.370325693606755
C201,10.0,,10.0,958.0,,1092.0,True,False,True,C,,13.987473903966597
C202,10.0,,10.0,966.0,,1094.0,True,False,True,C,,13.250517598343686
C203,10.0,,10.0,955.0,,1081.0,True,False,True,C,,13.193717277486911
C204,10.0,,10.0,952.0,,1063.0,True,False,True,C,,11.659663865546218
C205,10.0,,10.0,962.0,,1071.0,True,False,True,C,,11.33056133056133
C206,10.0,,10.0,947.0,,1085.0,True,False,True,C,,14.57233368532207
C207,10.0,,10.0,946.0,,1076.0,True,False,True,C,,13.742071881606766
C208,10.0,,10.0,948.0,,1088.0,True,False,True,C,,14.767932489451477
R101,,,20.0,,,1904.0,,False,True,R,,
R102,,,19.0,,,1722.0,,False,True,R,,
R103,14.0,,14.0,1209.0,,1438.0,True,False,True,R,,18.941273779983458
R104,10.0,,11.0,987.0,,1164.0,True,False,True,R,,17.933130699088146
R105,,,16.0,,,1647.0,,False,True,R,,
R106,13.0,,14.0,1238.0,,1474.0,True,False,True,R,,19.063004846526656
R107,11.0,,12.0,1088.0,,1266.0,True,False,True,R,,16.360294117647058
R108,10.0,,10.0,960.0,,1167.0,True,False,True,R,,21.5625
R109,12.0,,13.0,1185.0,,1473.0,True,False,True,R,,24.303797468354432
R110,11.0,,12.0,1132.0,,1313.0,True,False,True,R,,15.989399293286219
R111,11.0,,11.0,1073.0,,1336.0,True,False,True,R,,24.51071761416589
R112,10.0,12.0,11.0,966.0,1069.0,1163.0,True,True,True,R,10.662525879917185,20.393374741200827
R201,8.0,,8.0,1195.0,,1364.0,True,False,True,R,,14.142259414225942
R202,8.0,,8.0,1073.0,,1293.0,True,False,True,R,,20.50326188257223
R203,8.0,,8.0,957.0,,1081.0,True,False,True,R,,12.957157784743991
R204,8.0,,8.0,843.0,,991.0,True,False,True,R,,17.556346381969156
R205,8.0,,8.0,1018.0,,1180.0,True,False,True,R,,15.913555992141454
R206,8.0,,8.0,962.0,,1113.0,True,False,True,R,,15.696465696465696
R207,8.0,,8.0,904.0,,1036.0,True,False,True,R,,14.601769911504425
R208,8.0,,8.0,846.0,,974.0,True,False,True,R,,15.130023640661939
R209,8.0,,8.0,948.0,,1088.0,True,False,True,R,,14.767932489451477
R210,8.0,,8.0,982.0,,1159.0,True,False,True,R,,18.024439918533606
R211,8.0,,8.0,859.0,,998.0,True,False,True,R,,16.181606519208383
RC101,,,18.0,,,1988.0,,False,True,RC,,
RC102,,,15.0,,,1728.0,,False,True,RC,,
RC103,12.0,,13.0,1341.0,,1530.0,True,False,True,RC,,14.093959731543624
RC104,10.0,,11.0,1188.0,,1388.0,True,False,True,RC,,16.835016835016834
RC105,,,16.0,,,1810.0,,False,True,RC,,
RC106,13.0,,14.0,1400.0,,1663.0,True,False,True,RC,,18.785714285714285
RC107,11.0,,12.0,1254.0,,1460.0,True,False,True,RC,,16.427432216905903
RC108,11.0,13.0,12.0,1170.0,1367.0,1380.0,True,True,True,RC,16.837606837606838,17.94871794871795
RC201,9.0,,9.0,1448.0,,1727.0,True,False,True,RC,,19.26795580110497
RC202,9.0,,9.0,1291.0,,1441.0,True,False,True,RC,,11.618900077459333
RC203,9.0,,9.0,1123.0,,1311.0,True,False,True,RC,,16.74087266251113
RC204,9.0,,9.0,1043.0,,1212.0,True,False,True,RC,,16.2032598274209
RC205,9.0,,9.0,1283.0,,1495.0,True,False,True,RC,,16.52377240841777
RC206,9.0,,9.0,1240.0,,1338.0,True,False,True,RC,,7.903225806451613
RC207,9.0,,9.0,1161.0,,1378.0,True,False,True,RC,,18.69078380706288
RC208,9.0,,9.0,1018.0,,1138.0,True,False,True,RC,,11.787819253438114
