instance,method,ontime_mean,ontime_p05,ontime_p50,ontime_p95,tard_mean,n_customers,K,family
C101,DET,20.0,20.0,20.0,20.0,585.1137972807597,100,200,C
C105,DET,20.005,20.0,20.0,20.0,533.6045769642363,100,200,C
C107,DET,21.0,21.0,21.0,21.0,480.7639597965792,100,200,C
C106,DET,21.125,21.0,21.0,22.0,506.48206092653845,100,200,C
RC201,DET,23.39,22.0,23.0,24.0,320.4616259573878,100,200,RC
C108,DET,24.3,24.0,24.0,25.0,432.676090428437,100,200,C
R201,DET,24.925,24.0,25.0,26.0,362.2858172442152,100,200,R
R109,DET,25.17,23.0,25.0,28.0,112.95528981088717,100,200,R
RC107,DET,24.925,20.0,25.0,28.0,103.19445467097518,100,200,RC
RC205,DET,28.35,27.0,28.0,30.0,307.8152691635251,100,200,RC
