instance,vehicles,total_distance,capacity,horizon,feasible,tag
C101,13.0,1534.3998083548645,200,1218.4855775430647,True,g2_q1p645_hybrid
C102,11.0,1385.3407425799571,200,1218.4855775430647,True,g2_q1p645_hybrid
C103,10.0,1262.5551621553357,200,1218.4855775430647,True,g2_q1p645_hybrid
C104,10.0,1237.218647128584,200,1218.4855775430647,True,g2_q1p645_hybrid
C105,10.0,1129.172493307233,200,1218.4855775430647,True,g2_q1p645_hybrid
C106,12.0,1287.4148973383653,200,1218.4855775430647,True,g2_q1p645_hybrid
C107,10.0,1157.0254280890294,200,1218.4855775430647,True,g2_q1p645_hybrid
C108,10.0,1156.9799106479002,200,1218.4855775430647,True,g2_q1p645_hybrid
C109,10.0,1228.8636747217197,200,1218.4855775430647,True,g2_q1p645_hybrid
C201,10.0,1320.1698857000017,200,3372.255336886827,True,g2_q1p645_hybrid
C202,10.0,1287.6571764896505,200,3372.255336886827,True,g2_q1p645_hybrid
C203,10.0,1266.9641400323142,200,3372.255336886827,True,g2_q1p645_hybrid
C204,10.0,1287.1489140655715,200,3372.255336886827,True,g2_q1p645_hybrid
C205,10.0,1273.3281277382682,200,3372.255336886827,True,g2_q1p645_hybrid
C206,10.0,1280.7257409738413,200,3372.255336886827,True,g2_q1p645_hybrid
C207,10.0,1265.5592111655296,200,3372.255336886827,True,g2_q1p645_hybrid
C208,10.0,1274.6608828966869,200,3372.255336886827,True,g2_q1p645_hybrid
R101,,,200,214.96646388902465,False,g2_q1p645_hybrid
R102,,,200,214.96646388902465,False,g2_q1p645_hybrid
R103,,,200,214.96646388902465,False,g2_q1p645_hybrid
R104,,,200,214.96646388902465,False,g2_q1p645_hybrid
R105,,,200,214.96646388902465,False,g2_q1p645_hybrid
R106,,,200,214.96646388902465,False,g2_q1p645_hybrid
R107,,,200,214.96646388902465,False,g2_q1p645_hybrid
R108,13.0,1501.6267049007376,200,214.96646388902465,True,g2_q1p645_hybrid
R109,16.0,1850.1203148262891,200,214.96646388902465,True,g2_q1p645_hybrid
R110,16.0,1798.8079258826147,200,214.96646388902465,True,g2_q1p645_hybrid
R111,15.0,1753.8721843952965,200,214.96646388902465,True,g2_q1p645_hybrid
R112,13.0,1493.8275917220808,200,214.96646388902465,True,g2_q1p645_hybrid
R201,8.0,1682.3047575132075,200,984.9664638890247,True,g2_q1p645_hybrid
R202,8.0,1537.5283990736511,200,984.9664638890247,True,g2_q1p645_hybrid
R203,8.0,1348.8749997038158,200,984.9664638890247,True,g2_q1p645_hybrid
R204,8.0,1173.8363342498878,200,984.9664638890247,True,g2_q1p645_hybrid
R205,8.0,1455.6830960562077,200,984.9664638890247,True,g2_q1p645_hybrid
R206,8.0,1322.0683416902052,200,984.9664638890247,True,g2_q1p645_hybrid
R207,8.0,1233.0597922542051,200,984.9664638890247,True,g2_q1p645_hybrid
R208,8.0,1160.6833816717597,200,984.9664638890247,True,g2_q1p645_hybrid
R209,8.0,1315.7780269471361,200,984.9664638890247,True,g2_q1p645_hybrid
R210,8.0,1322.7194133453158,200,984.9664638890247,True,g2_q1p645_hybrid
R211,8.0,1194.7384484631812,200,984.9664638890247,True,g2_q1p645_hybrid
RC101,,,200,220.45285877679297,False,g2_q1p645_hybrid
RC102,,,200,220.45285877679297,False,g2_q1p645_hybrid
RC103,,,200,220.45285877679297,False,g2_q1p645_hybrid
RC104,15.0,1960.7791947506873,200,220.45285877679297,True,g2_q1p645_hybrid
RC105,,,200,220.45285877679297,False,g2_q1p645_hybrid
RC106,20.0,2426.099576576118,200,220.45285877679297,True,g2_q1p645_hybrid
RC107,16.0,2195.076493193767,200,220.45285877679297,True,g2_q1p645_hybrid
RC108,15.0,2001.8811304223577,200,220.45285877679297,True,g2_q1p645_hybrid
RC201,9.0,1916.9928478209108,200,940.4528587767929,True,g2_q1p645_hybrid
RC202,9.0,1739.7292208535196,200,940.4528587767929,True,g2_q1p645_hybrid
RC203,9.0,1642.0467740135207,200,940.4528587767929,True,g2_q1p645_hybrid
RC204,9.0,1430.5911146868973,200,940.4528587767929,True,g2_q1p645_hybrid
RC205,9.0,1852.0139935499901,200,940.4528587767929,True,g2_q1p645_hybrid
RC206,9.0,1737.9440205072844,200,940.4528587767929,True,g2_q1p645_hybrid
RC207,9.0,1609.7829470436366,200,940.4528587767929,True,g2_q1p645_hybrid
RC208,9.0,1433.648493528781,200,940.4528587767929,True,g2_q1p645_hybrid
