instance,vehicles,total_distance,capacity,horizon,feasible
C101,10,890.0,200,1236.0,True
C102,10,886.0,200,1236.0,True
C103,10,916.0,200,1236.0,True
C104,10,858.0,200,1236.0,True
C105,10,890.0,200,1236.0,True
C106,10,888.0,200,1236.0,True
C107,10,881.0,200,1236.0,True
C108,10,881.0,200,1236.0,True
C109,10,903.0,200,1236.0,True
C201,10,1025.0,200,3390.0,True
C202,10,1023.0,200,3390.0,True
C203,10,1015.0,200,3390.0,True
C204,10,978.0,200,3390.0,True
C205,10,1019.0,200,3390.0,True
C206,10,1011.0,200,3390.0,True
C207,10,993.0,200,3390.0,True
C208,10,1017.0,200,3390.0,True
R101,20,1781.0,200,230.0,True
R102,19,1602.0,200,230.0,True
R103,15,1310.0,200,230.0,True
R104,10,1106.0,200,230.0,True
R105,15,1488.0,200,230.0,True
R106,13,1327.0,200,230.0,True
R107,11,1183.0,200,230.0,True
R108,10,1059.0,200,230.0,True
R109,13,1292.0,200,230.0,True
R110,12,1207.0,200,230.0,True
R111,12,1169.0,200,230.0,True
R112,10,1118.0,200,230.0,True
R201,8,1270.0,200,1000.0,True
R202,8,1171.0,200,1000.0,True
R203,8,1024.0,200,1000.0,True
R204,8,930.0,200,1000.0,True
R205,8,1111.0,200,1000.0,True
R206,8,1042.0,200,1000.0,True
R207,8,960.0,200,1000.0,True
R208,8,905.0,200,1000.0,True
R209,8,1037.0,200,1000.0,True
R210,8,1034.0,200,1000.0,True
R211,8,921.0,200,1000.0,True
RC101,16,1792.0,200,240.0,True
RC102,14,1667.0,200,240.0,True
RC103,12,1379.0,200,240.0,True
RC104,11,1277.0,200,240.0,True
RC105,15,1711.0,200,240.0,True
RC106,14,1533.0,200,240.0,True
RC107,12,1355.0,200,240.0,True
RC108,11,1286.0,200,240.0,True
RC201,9,1495.0,200,960.0,True
RC202,9,1341.0,200,960.0,True
RC203,9,1184.0,200,960.0,True
RC204,9,1127.0,200,960.0,True
RC205,9,1463.0,200,960.0,True
RC206,9,1279.0,200,960.0,True
RC207,9,1220.0,200,960.0,True
RC208,9,1080.0,200,960.0,True
